horizonte_meses,observaciones,beta,t_stat_hac,p_valor_hac,r2_pct,acierto_direccion_pct,sharpe_estrategia,senal
12,201,-2.1252727724497325,-1.2711830732620064,0.20366352690184975,3.5761432796318493,36.81592039800995,-0.23748494178769927,embig_zscore
18,195,-4.338359602089093,-2.5977789214797555,0.009382888235019482,10.268224127211589,32.82051282051282,-0.3168334368448603,embig_zscore
24,189,-6.369671428164735,-3.5584920083243117,0.00037299013779074086,18.734963499079306,31.216931216931215,-0.36089126178842007,embig_zscore
6,242,-1.2049086626291454,-3.1379948403738247,0.0017010787132634515,13.925829975268833,40.082644628099175,-0.2814390041351463,dolar_desviacion_hp_pct
12,236,-2.4872665711881634,-6.508215528947906,7.604875593062792e-11,30.94313999557047,29.66101694915254,-0.47231734259005775,dolar_desviacion_hp_pct
18,230,-3.0036874704264696,-4.330940595802449,1.4847373722186483e-05,32.50643053593434,27.391304347826086,-0.4566773952933815,dolar_desviacion_hp_pct
24,224,-2.6526252727402317,-3.7048361095732227,0.00021152745516640048,20.85309610582251,36.160714285714285,-0.33297997961801773,dolar_desviacion_hp_pct
6,206,-0.27962119779165556,-0.4027382413620293,0.6871407983440845,0.1981505049820642,46.116504854368934,-0.17891620688305224,z_global_yield_real_10y
12,200,-0.8851173001255994,-0.6907249447762511,0.48973841021612063,0.9546018059223615,43.0,-0.12803212663906513,z_global_yield_real_10y
18,194,-0.7327531199462132,-0.4050192735140252,0.6854633438213699,0.4424175144913223,46.391752577319586,-0.08897955742612457,z_global_yield_real_10y
24,188,-1.2963451979892688,-0.5949375057024089,0.5518852456495428,1.1333001400180343,41.48936170212766,-0.09572437496416784,z_global_yield_real_10y
6,229,-2.5556355979690575,-1.744206592314121,0.08112307223260254,4.205449787528115,44.10480349344978,-0.26797644330760173,mom12_global_yield_real_10y
12,223,-3.2348526789202174,-1.3259119306737375,0.184868870664609,3.6220589383726076,41.25560538116592,-0.2326175438241809,mom12_global_yield_real_10y
18,217,-1.1090704952935344,-0.2838558833764746,0.7765208263391772,0.3289138928141422,44.23963133640553,-0.08582100634477395,mom12_global_yield_real_10y
24,211,-1.3756484659318862,-0.29246955653466006,0.7699276331700553,0.42613882329434194,35.54502369668246,-0.09336874765126421,mom12_global_yield_real_10y
6,206,0.20225400640863092,0.2830576967215196,0.7771326090798477,0.1003325313464476,49.51456310679612,0.061112087839542424,z_global_yield_real_5y
12,200,-0.17093829140740935,-0.12371382961026366,0.9015418613386089,0.034800817178626264,47.5,0.05672675819714304,z_global_yield_real_5y
18,194,-0.31293711875553354,-0.1624459855130208,0.87095466050835,0.08015984307599977,48.96907216494845,0.03250315295694318,z_global_yield_real_5y
24,188,-0.8132937949677005,-0.3597276529136511,0.7190508104739395,0.4502240157276627,48.40425531914894,-0.0006213596758363584,z_global_yield_real_5y
6,229,-1.4109027915159462,-1.0518583225157618,0.2928645559446219,2.1515742304084706,51.96506550218341,0.06170926922955316,mom12_global_yield_real_5y
12,223,-1.9520008078991355,-0.9338512579501854,0.3503806246008979,2.207527392054387,48.4304932735426,0.03265245327456755,mom12_global_yield_real_5y
18,217,-0.9197869377006946,-0.3011659892265004,0.7632879231900935,0.3770562055043114,49.76958525345622,0.04892431183401239,mom12_global_yield_real_5y
24,211,-1.0454584170593362,-0.31285218642302515,0.7543929649887869,0.41023427352155917,41.23222748815166,0.007018432078890674,mom12_global_yield_real_5y
6,206,0.5978090285365321,0.8013443151410778,0.4229323425904249,0.9643301476263244,53.883495145631066,0.19635492099588425,z_global_yield_2y
12,200,-0.1668361283986945,-0.12152441856623383,0.9032756748144023,0.03661667057962559,49.0,-0.004497117437168215,z_global_yield_2y
18,194,-0.5028949557779243,-0.23633698883240603,0.8131711868127178,0.23093312411913702,50.51546391752577,-0.07563780984990737,z_global_yield_2y
24,188,-0.824491832312994,-0.29875958061762053,0.765123493123826,0.5250912772877925,48.93617021276596,-0.08747633111704009,z_global_yield_2y
6,229,-0.3054048402260685,-0.21074693294700345,0.8330847497766822,0.13680698982803108,58.515283842794766,0.2786490349792784,mom12_global_yield_2y
12,223,-0.7128646402679948,-0.35973978600710177,0.7190417362198016,0.3992508574956033,57.847533632286996,0.2842884067093142,mom12_global_yield_2y
18,217,-0.11465720291169967,-0.04444235128014091,0.9645518035406484,0.007893814572357272,55.76036866359447,0.20946915422672768,mom12_global_yield_2y
24,211,-0.1082801643297018,-0.0345219160024021,0.9724609663197495,0.005878963364824852,52.13270142180095,0.14514491134854934,mom12_global_yield_2y
6,206,0.29478149098784995,0.30900136674349443,0.7573204871557426,0.18243449135159073,47.0873786407767,-0.1745086183559427,z_global_yield_10y
12,200,-0.2615493647361623,-0.16687129366527093,0.8674713207485081,0.0689119126243809,47.0,-0.1420546700618114,z_global_yield_10y
