fecha,diferencial_nominal,diferencial_real,vol_trm_12m_anual,carry_sharpe,carry_zscore,diferencial_zscore,carry_momentum_6m,carry_neto_embig
2010-02-01,3.37,0.15818420430233537,10.326254248481433,0.32635260752906486,-0.5133945476332317,-0.4769931362345863,-0.9699999999999998,1.0190000000000001
2010-03-01,3.34,0.35410840058268356,10.317770668248917,0.32371333957617887,-0.5212100806694394,-0.48252665794777655,-0.96,1.45
2010-04-01,3.3,1.2639459372365298,10.709449464977126,0.30813908882916125,-0.6083188164514067,-0.49193296707070744,-0.5800000000000001,1.572272727272727
2010-05-01,2.832258064516129,0.7744864699666483,10.071170288134484,0.281224324828764,-0.7634112964013573,-0.6632476661021901,-0.9310752688172044,0.5217818740399385
2010-06-01,2.82,0.6404277494535493,8.50454663790588,0.331587340285829,-0.43712327784579125,-0.6591358185600701,-0.56,0.5895454545454544
2010-07-01,2.82,0.210680942217508,8.674586658811418,0.3250875356851174,-0.47208919530374877,-0.6506152726600561,-0.5700000000000003,0.8295454545454546
2010-08-01,2.81,0.25477199263730954,8.907882807320007,0.31545093944106417,-0.5268083930728743,-0.6462593459378555,-0.56,1.1522727272727273
2010-09-01,2.81,0.2733402592588825,8.823049527989193,0.31848398800050826,-0.4999966742929522,-0.6382909356117015,-0.5299999999999998,1.0522727272727272
2010-10-01,2.81,0.778070004224777,8.13098392856043,0.3455916313067296,-0.3175567756087689,-0.6306115341683586,-0.48999999999999977,1.2285714285714286
2010-11-01,2.81,0.7340320478467377,7.63098940042141,0.3682353430925775,-0.16502422288585328,-0.6232040323302099,-0.022258064516128773,1.2936363636363637
2010-12-01,2.82,0.2856565341158528,8.08611940141529,0.34874577779625954,-0.2928505734011505,-0.6121203429732589,0.0,1.212608695652174
2011-01-01,2.83,-0.052984990358352135,8.380155103522613,0.33770258008833326,-0.36368057280050314,-0.6195855920424133,0.010000000000000231,1.3723809523809525
2011-02-01,2.8489285714285715,0.0742601420036837,8.381705166447766,0.33989844725544915,-0.3447638862131609,-0.6260882094055822,0.038928571428571423,1.3394285714285716
2011-03-01,3.1906451612903224,1.0070140848942044,8.118543563690245,0.3930070875717553,0.02250543265377439,-0.5039765583844862,0.38064516129032233,1.6393408134642355
2011-04-01,3.4,1.7557481718565282,8.722532722895384,0.3897950409604647,5.3413840376188483e-05,-0.43854771273155707,0.5899999999999999,1.8847619047619046
2011-05-01,3.66,1.8845194762506527,8.125563731587675,0.4504302865500832,0.42337275576325445,-0.3510981234167802,0.8500000000000001,2.1840909090909095
2011-06-01,4.001666666666667,2.184020487195947,7.805286959870054,0.5126866811227768,0.8524452691299967,-0.22830916961085823,1.181666666666667,2.5553030303030306
2011-07-01,4.18,2.670317679186513,7.49603039836646,0.5576284750540643,1.147981126132359,-0.1754160162021913,1.3499999999999996,2.7728571428571422
2011-08-01,4.4,2.743806959201423,7.230691092662813,0.6085172141380518,1.46643332182361,-0.10320685005807059,1.5510714285714289,2.691739130434783
2011-09-01,4.42,2.6397012613746753,7.696821956114257,0.5742629912971818,1.198988778694729,-0.11798717887377688,1.2293548387096775,2.271818181818182
2011-10-01,4.43,2.3971779290648056,8.605441244065826,0.5147905696357937,0.7717752133890746,-0.13571239448805517,1.0299999999999998,2.359047619047619
2011-11-01,4.445,2.1556202580175903,8.165051285019068,0.5443933962981372,0.9636409896720465,-0.14959723805464265,0.7850000000000001,2.474545454545455
2011-12-01,4.68,2.3103285769962127,7.5690837676483,0.6183046909856128,1.4443411204515442,-0.06052432269025901,0.6783333333333328,2.8086363636363636
2012-01-01,4.678064516129032,2.3672496013878193,8.216334011205975,0.5693615315235214,1.0684278234147322,-0.08141798430640887,0.49806451612903224,2.7067008797653958
2012-02-01,4.925862068965517,2.9934127506545476,8.97586099290523,0.5487899236473309,0.8941428124746204,0.01831449255019629,0.5258620689655169,3.1701477832512315
2012-03-01,5.12,3.7308709205211827,8.97445619909304,0.5705081050501342,1.0122313847212603,0.0943989609565354,0.7000000000000002,3.629090909090909
2012-04-01,5.11,3.876212114371785,8.212968158364763,0.6221867541024807,1.3253733243187698,0.07287181455023711,0.6800000000000006,3.635238095238096
2012-05-01,5.09,3.7148231675511316,8.29137175503266,0.6138911811438794,1.2241954656724283,0.0487787749886783,0.6449999999999996,3.34695652173913
2012-06-01,5.09,3.6961822086109555,8.228947198789083,0.6185481419480988,1.228546641642691,0.03662435833018432,0.41000000000000014,3.3623809523809522
2012-07-01,5.073870967741935,3.968484072153469,8.138942954657335,0.6234066261440647,1.2277732662508378,0.01773348777799553,0.39580645161290295,3.56432551319648
2012-08-01,4.829677419354839,3.958990048837353,8.116420094025118,0.595050202355863,1.0085239235557335,-0.10930126399903767,-0.09618464961067819,3.541851332398317
2012-09-01,4.61,3.631484194404201,7.626031080558275,0.6045084200814086,1.039476941030641,-0.2217744916206065,-0.5099999999999998,3.3450000000000006
2012-10-01,4.59,3.586546315114735,6.1965363042712065,0.740736400888374,1.8453459813570716,-0.23266361959908696,-0.5200000000000005,3.483478260869565
2012-11-01,4.548333333333333,3.4137533453305555,6.259836943581935,0.7265897457595334,1.67898486038919,-0.25129659924714964,-0.541666666666667,3.320151515151515
2012-12-01,4.275483870967742,3.5785342766242256,6.217420413016925,0.6876620184822144,1.3855845552669788,-0.3791180401824266,-0.814516129032258,3.1140552995391704
2013-01-01,4.085806451612903,3.6074904923289517,4.918934648398826,0.8306283257784048,2.138257349020755,-0.4610279206186527,-0.9880645161290316,2.961458625525947
